Source Name	Material Type	Characteristics[CellType]	Characteristics[Organism]	Characteristics[Sex]	Protocol REF	Protocol REF	Parameter Value[Compound]	Term Source REF	Term Accession Number	Parameter Value[DoseLevel]	Parameter Value[Dose]	Unit[ConcentrationUnit]	Parameter Value[TimeOfCollection]	Unit[TimeUnit]	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Material Type	Label	Protocol REF	Hybridization Name	Array Design REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[Compound]	Term Source REF	Term Accession Number	Factor Value[DoseLevel]	Factor Value[TimeOfCollection]	Unit[TimeUnit]
5093021LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allopurinol	ChEMBL	CHEMBL1467	Control	0	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5093021LRA	P-MTAB-23090	5093021LRA	synthetic_RNA	biotin	P-MTAB-23091	3016028030	A-AFFY-44	003016028030.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allopurinol	ChEMBL	CHEMBL1467	Control	8	hour
5093022LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allopurinol	ChEMBL	CHEMBL1467	Control	0	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5093022LRA	P-MTAB-23090	5093022LRA	synthetic_RNA	biotin	P-MTAB-23091	3016029001	A-AFFY-44	003016029001.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allopurinol	ChEMBL	CHEMBL1467	Control	8	hour
5093031LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allopurinol	ChEMBL	CHEMBL1467	Control	0	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5093031LRA	P-MTAB-23090	5093031LRA	synthetic_RNA	biotin	P-MTAB-23091	3016029008	A-AFFY-44	003016029008.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allopurinol	ChEMBL	CHEMBL1467	Control	24	hour
5093032LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allopurinol	ChEMBL	CHEMBL1467	Control	0	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5093032LRA	P-MTAB-23090	5093032LRA	synthetic_RNA	biotin	P-MTAB-23091	3016029009	A-AFFY-44	003016029009.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allopurinol	ChEMBL	CHEMBL1467	Control	24	hour
5093041LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allopurinol	ChEMBL	CHEMBL1467	Low	5.6	micromolar	2	hour	P-MTAB-23088	P-MTAB-23089	5093041LRA	P-MTAB-23090	5093041LRA	synthetic_RNA	biotin	P-MTAB-23091	3016028024	A-AFFY-44	003016028024.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allopurinol	ChEMBL	CHEMBL1467	Low	2	hour
5093042LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allopurinol	ChEMBL	CHEMBL1467	Low	5.6	micromolar	2	hour	P-MTAB-23088	P-MTAB-23089	5093042LRA	P-MTAB-23090	5093042LRA	synthetic_RNA	biotin	P-MTAB-23091	3016028025	A-AFFY-44	003016028025.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allopurinol	ChEMBL	CHEMBL1467	Low	2	hour
5093051LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allopurinol	ChEMBL	CHEMBL1467	Low	5.6	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5093051LRA	P-MTAB-23090	5093051LRA	synthetic_RNA	biotin	P-MTAB-23091	3016029002	A-AFFY-44	003016029002.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allopurinol	ChEMBL	CHEMBL1467	Low	8	hour
5093052LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allopurinol	ChEMBL	CHEMBL1467	Low	5.6	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5093052LRA	P-MTAB-23090	5093052LRA	synthetic_RNA	biotin	P-MTAB-23091	3016029003	A-AFFY-44	003016029003.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allopurinol	ChEMBL	CHEMBL1467	Low	8	hour
5093061LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allopurinol	ChEMBL	CHEMBL1467	Low	5.6	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5093061LRA	P-MTAB-23090	5093061LRA	synthetic_RNA	biotin	P-MTAB-23091	3016029010	A-AFFY-44	003016029010.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allopurinol	ChEMBL	CHEMBL1467	Low	24	hour
5093062LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allopurinol	ChEMBL	CHEMBL1467	Low	5.6	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5093062LRA	P-MTAB-23090	5093062LRA	synthetic_RNA	biotin	P-MTAB-23091	3016029011	A-AFFY-44	003016029011.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allopurinol	ChEMBL	CHEMBL1467	Low	24	hour
5093071LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allopurinol	ChEMBL	CHEMBL1467	Middle	28	micromolar	2	hour	P-MTAB-23088	P-MTAB-23089	5093071LRA	P-MTAB-23090	5093071LRA	synthetic_RNA	biotin	P-MTAB-23091	3016028026	A-AFFY-44	003016028026.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allopurinol	ChEMBL	CHEMBL1467	Middle	2	hour
5093072LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allopurinol	ChEMBL	CHEMBL1467	Middle	28	micromolar	2	hour	P-MTAB-23088	P-MTAB-23089	5093072LRA	P-MTAB-23090	5093072LRA	synthetic_RNA	biotin	P-MTAB-23091	3016028027	A-AFFY-44	003016028027.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allopurinol	ChEMBL	CHEMBL1467	Middle	2	hour
5093081LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allopurinol	ChEMBL	CHEMBL1467	Middle	28	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5093081LRA	P-MTAB-23090	5093081LRA	synthetic_RNA	biotin	P-MTAB-23091	3016029004	A-AFFY-44	003016029004.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allopurinol	ChEMBL	CHEMBL1467	Middle	8	hour
5093082LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allopurinol	ChEMBL	CHEMBL1467	Middle	28	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5093082LRA	P-MTAB-23090	5093082LRA	synthetic_RNA	biotin	P-MTAB-23091	3016029005	A-AFFY-44	003016029005.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allopurinol	ChEMBL	CHEMBL1467	Middle	8	hour
5093091LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allopurinol	ChEMBL	CHEMBL1467	Middle	28	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5093091LRA	P-MTAB-23090	5093091LRA	synthetic_RNA	biotin	P-MTAB-23091	3016029012	A-AFFY-44	003016029012.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allopurinol	ChEMBL	CHEMBL1467	Middle	24	hour
5093092LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allopurinol	ChEMBL	CHEMBL1467	Middle	28	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5093092LRA	P-MTAB-23090	5093092LRA	synthetic_RNA	biotin	P-MTAB-23091	3016029013	A-AFFY-44	003016029013.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allopurinol	ChEMBL	CHEMBL1467	Middle	24	hour
5093101LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allopurinol	ChEMBL	CHEMBL1467	High	140	micromolar	2	hour	P-MTAB-23088	P-MTAB-23089	5093101LRA	P-MTAB-23090	5093101LRA	synthetic_RNA	biotin	P-MTAB-23091	3016028028	A-AFFY-44	003016028028.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allopurinol	ChEMBL	CHEMBL1467	High	2	hour
5093102LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allopurinol	ChEMBL	CHEMBL1467	High	140	micromolar	2	hour	P-MTAB-23088	P-MTAB-23089	5093102LRA	P-MTAB-23090	5093102LRA	synthetic_RNA	biotin	P-MTAB-23091	3016028029	A-AFFY-44	003016028029.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allopurinol	ChEMBL	CHEMBL1467	High	2	hour
5093111LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allopurinol	ChEMBL	CHEMBL1467	High	140	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5093111LRA	P-MTAB-23090	5093111LRA	synthetic_RNA	biotin	P-MTAB-23091	3016029006	A-AFFY-44	003016029006.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allopurinol	ChEMBL	CHEMBL1467	High	8	hour
5093112LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allopurinol	ChEMBL	CHEMBL1467	High	140	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5093112LRA	P-MTAB-23090	5093112LRA	synthetic_RNA	biotin	P-MTAB-23091	3016029007	A-AFFY-44	003016029007.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allopurinol	ChEMBL	CHEMBL1467	High	8	hour
5093121LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allopurinol	ChEMBL	CHEMBL1467	High	140	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5093121LRA	P-MTAB-23090	5093121LRA	synthetic_RNA	biotin	P-MTAB-23091	3016029014	A-AFFY-44	003016029014.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allopurinol	ChEMBL	CHEMBL1467	High	24	hour
5093122LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allopurinol	ChEMBL	CHEMBL1467	High	140	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5093122LRA	P-MTAB-23090	5093122LRA	synthetic_RNA	biotin	P-MTAB-23091	3016029015	A-AFFY-44	003016029015.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allopurinol	ChEMBL	CHEMBL1467	High	24	hour
5075011LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allyl alcohol	ChEMBL	CHEMBL234926	Control	0	micromolar	2	hour	P-MTAB-23088	P-MTAB-23089	5075011LRA	P-MTAB-23090	5075011LRA	synthetic_RNA	biotin	P-MTAB-23091	3016036024	A-AFFY-44	003016036024.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allyl alcohol	ChEMBL	CHEMBL234926	Control	2	hour
5075012LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allyl alcohol	ChEMBL	CHEMBL234926	Control	0	micromolar	2	hour	P-MTAB-23088	P-MTAB-23089	5075012LRA	P-MTAB-23090	5075012LRA	synthetic_RNA	biotin	P-MTAB-23091	3016036025	A-AFFY-44	003016036025.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allyl alcohol	ChEMBL	CHEMBL234926	Control	2	hour
5075021LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allyl alcohol	ChEMBL	CHEMBL234926	Control	0	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5075021LRA	P-MTAB-23090	5075021LRA	synthetic_RNA	biotin	P-MTAB-23091	3016037002	A-AFFY-44	003016037002.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allyl alcohol	ChEMBL	CHEMBL234926	Control	8	hour
5075022LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allyl alcohol	ChEMBL	CHEMBL234926	Control	0	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5075022LRA	P-MTAB-23090	5075022LRA	synthetic_RNA	biotin	P-MTAB-23091	3016037003	A-AFFY-44	003016037003.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allyl alcohol	ChEMBL	CHEMBL234926	Control	8	hour
5075031LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allyl alcohol	ChEMBL	CHEMBL234926	Control	0	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5075031LRA	P-MTAB-23090	5075031LRA	synthetic_RNA	biotin	P-MTAB-23091	3016037010	A-AFFY-44	003016037010.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allyl alcohol	ChEMBL	CHEMBL234926	Control	24	hour
5075032LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allyl alcohol	ChEMBL	CHEMBL234926	Control	0	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5075032LRA	P-MTAB-23090	5075032LRA	synthetic_RNA	biotin	P-MTAB-23091	3016037011	A-AFFY-44	003016037011.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allyl alcohol	ChEMBL	CHEMBL234926	Control	24	hour
5075041LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allyl alcohol	ChEMBL	CHEMBL234926	Low	2.8	micromolar	2	hour	P-MTAB-23088	P-MTAB-23089	5075041LRA	P-MTAB-23090	5075041LRA	synthetic_RNA	biotin	P-MTAB-23091	3016036026	A-AFFY-44	003016036026.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allyl alcohol	ChEMBL	CHEMBL234926	Low	2	hour
5075042LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allyl alcohol	ChEMBL	CHEMBL234926	Low	2.8	micromolar	2	hour	P-MTAB-23088	P-MTAB-23089	5075042LRA	P-MTAB-23090	5075042LRA	synthetic_RNA	biotin	P-MTAB-23091	3016036027	A-AFFY-44	003016036027.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allyl alcohol	ChEMBL	CHEMBL234926	Low	2	hour
5075051LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allyl alcohol	ChEMBL	CHEMBL234926	Low	2.8	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5075051LRA	P-MTAB-23090	5075051LRA	synthetic_RNA	biotin	P-MTAB-23091	3016037004	A-AFFY-44	003016037004.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allyl alcohol	ChEMBL	CHEMBL234926	Low	8	hour
5075052LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allyl alcohol	ChEMBL	CHEMBL234926	Low	2.8	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5075052LRA	P-MTAB-23090	5075052LRA	synthetic_RNA	biotin	P-MTAB-23091	3016037005	A-AFFY-44	003016037005.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allyl alcohol	ChEMBL	CHEMBL234926	Low	8	hour
5075061LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allyl alcohol	ChEMBL	CHEMBL234926	Low	2.8	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5075061LRA	P-MTAB-23090	5075061LRA	synthetic_RNA	biotin	P-MTAB-23091	3016037012	A-AFFY-44	003016037012.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allyl alcohol	ChEMBL	CHEMBL234926	Low	24	hour
5075062LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allyl alcohol	ChEMBL	CHEMBL234926	Low	2.8	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5075062LRA	P-MTAB-23090	5075062LRA	synthetic_RNA	biotin	P-MTAB-23091	3016037013	A-AFFY-44	003016037013.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allyl alcohol	ChEMBL	CHEMBL234926	Low	24	hour
5075071LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allyl alcohol	ChEMBL	CHEMBL234926	Middle	14	micromolar	2	hour	P-MTAB-23088	P-MTAB-23089	5075071LRA	P-MTAB-23090	5075071LRA	synthetic_RNA	biotin	P-MTAB-23091	3016036028	A-AFFY-44	003016036028.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allyl alcohol	ChEMBL	CHEMBL234926	Middle	2	hour
5075072LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allyl alcohol	ChEMBL	CHEMBL234926	Middle	14	micromolar	2	hour	P-MTAB-23088	P-MTAB-23089	5075072LRA	P-MTAB-23090	5075072LRA	synthetic_RNA	biotin	P-MTAB-23091	3016036029	A-AFFY-44	003016036029.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allyl alcohol	ChEMBL	CHEMBL234926	Middle	2	hour
5075081LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allyl alcohol	ChEMBL	CHEMBL234926	Middle	14	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5075081LRA	P-MTAB-23090	5075081LRA	synthetic_RNA	biotin	P-MTAB-23091	3016037006	A-AFFY-44	003016037006.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.4.zip	allyl alcohol	ChEMBL	CHEMBL234926	Middle	8	hour
5075082LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allyl alcohol	ChEMBL	CHEMBL234926	Middle	14	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5075082LRA	P-MTAB-23090	5075082LRA	synthetic_RNA	biotin	P-MTAB-23091	3016037007	A-AFFY-44	003016037007.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.5.zip	allyl alcohol	ChEMBL	CHEMBL234926	Middle	8	hour
5075091LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allyl alcohol	ChEMBL	CHEMBL234926	Middle	14	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5075091LRA	P-MTAB-23090	5075091LRA	synthetic_RNA	biotin	P-MTAB-23091	3016037014	A-AFFY-44	003016037014.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.5.zip	allyl alcohol	ChEMBL	CHEMBL234926	Middle	24	hour
5075092LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allyl alcohol	ChEMBL	CHEMBL234926	Middle	14	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5075092LRA	P-MTAB-23090	5075092LRA	synthetic_RNA	biotin	P-MTAB-23091	3016037015	A-AFFY-44	003016037015.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.5.zip	allyl alcohol	ChEMBL	CHEMBL234926	Middle	24	hour
5075101LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allyl alcohol	ChEMBL	CHEMBL234926	High	70	micromolar	2	hour	P-MTAB-23088	P-MTAB-23089	5075101LRA	P-MTAB-23090	5075101LRA	synthetic_RNA	biotin	P-MTAB-23091	3016036030	A-AFFY-44	003016036030.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.5.zip	allyl alcohol	ChEMBL	CHEMBL234926	High	2	hour
5075102LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allyl alcohol	ChEMBL	CHEMBL234926	High	70	micromolar	2	hour	P-MTAB-23088	P-MTAB-23089	5075102LRA	P-MTAB-23090	5075102LRA	synthetic_RNA	biotin	P-MTAB-23091	3016037001	A-AFFY-44	003016037001.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.5.zip	allyl alcohol	ChEMBL	CHEMBL234926	High	2	hour
5075111LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allyl alcohol	ChEMBL	CHEMBL234926	High	70	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5075111LRA	P-MTAB-23090	5075111LRA	synthetic_RNA	biotin	P-MTAB-23091	3016037008	A-AFFY-44	003016037008.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.5.zip	allyl alcohol	ChEMBL	CHEMBL234926	High	8	hour
5075112LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allyl alcohol	ChEMBL	CHEMBL234926	High	70	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5075112LRA	P-MTAB-23090	5075112LRA	synthetic_RNA	biotin	P-MTAB-23091	3016037009	A-AFFY-44	003016037009.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.5.zip	allyl alcohol	ChEMBL	CHEMBL234926	High	8	hour
5075121LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allyl alcohol	ChEMBL	CHEMBL234926	High	70	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5075121LRA	P-MTAB-23090	5075121LRA	synthetic_RNA	biotin	P-MTAB-23091	3016037016	A-AFFY-44	003016037016.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.5.zip	allyl alcohol	ChEMBL	CHEMBL234926	High	24	hour
5075122LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	allyl alcohol	ChEMBL	CHEMBL234926	High	70	micromolar	24	hour	P-MTAB-23088	P-MTAB-23089	5075122LRA	P-MTAB-23090	5075122LRA	synthetic_RNA	biotin	P-MTAB-23091	3016037017	A-AFFY-44	003016037017.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.5.zip	allyl alcohol	ChEMBL	CHEMBL234926	High	24	hour
5098011LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	amiodarone	ChEMBL	CHEMBL633	Control	0	micromolar	2	hour	P-MTAB-23088	P-MTAB-23089	5098011LRA	P-MTAB-23090	5098011LRA	synthetic_RNA	biotin	P-MTAB-23091	3016027024	A-AFFY-44	003016027024.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.5.zip	amiodarone	ChEMBL	CHEMBL633	Control	2	hour
5098012LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	amiodarone	ChEMBL	CHEMBL633	Control	0	micromolar	2	hour	P-MTAB-23088	P-MTAB-23089	5098012LRA	P-MTAB-23090	5098012LRA	synthetic_RNA	biotin	P-MTAB-23091	3016027025	A-AFFY-44	003016027025.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.5.zip	amiodarone	ChEMBL	CHEMBL633	Control	2	hour
5098021LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	amiodarone	ChEMBL	CHEMBL633	Control	0	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5098021LRA	P-MTAB-23090	5098021LRA	synthetic_RNA	biotin	P-MTAB-23091	3016028006	A-AFFY-44	003016028006.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.5.zip	amiodarone	ChEMBL	CHEMBL633	Control	8	hour
5098022LRA	cell	hepatocyte	Homo sapiens	female	P-MTAB-23086	P-MTAB-23087	amiodarone	ChEMBL	CHEMBL633	Control	0	micromolar	8	hour	P-MTAB-23088	P-MTAB-23089	5098022LRA	P-MTAB-23090	5098022LRA	synthetic_RNA	biotin	P-MTAB-23091	3016028007	A-AFFY-44	003016028007.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.5.zip	amiodarone	ChEMBL	CHEMBL633	Control	8	hour
